Loading Datastore...
Reload Cache...
 * Serving Flask app 'server' (lazy loading)
 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on http://127.0.0.1:6080/ (Press CTRL+C to quit)
127.0.0.1 - - [20/Apr/2022 07:43:57] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [20/Apr/2022 07:43:57] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [20/Apr/2022 07:43:57] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjowLCJleHAiOjE2NTA0MDQ2Mzc1NzQ5NjB9.KHnO4rE4QlbcKu2gNBrw7qqD-BnQaxEbGCSUSyQa3bQ&u_id=0 HTTP/1.1" 200 -
127.0.0.1 - - [20/Apr/2022 07:43:57] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [20/Apr/2022 07:43:57] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoxLCJleHAiOjE2NTA0MDQ2Mzc1OTEzMTF9.h3xPVfKsvYRufkjSueju7KEDgUQvozmritfIqzMyhFQ&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [20/Apr/2022 07:43:57] "POST /channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [20/Apr/2022 07:43:57] "DELETE /admin/user/remove/v1 HTTP/1.1" 200 -
127.0.0.1 - - [20/Apr/2022 07:43:57] "POST /auth/logout/v1 HTTP/1.1" 403 -
127.0.0.1 - - [20/Apr/2022 07:43:57] "POST /channel/join/v2 HTTP/1.1" 403 -
127.0.0.1 - - [20/Apr/2022 07:43:57] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [20/Apr/2022 07:43:57] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [20/Apr/2022 07:43:57] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjowLCJleHAiOjE2NTA0MDQ2Mzc2NTAyMDd9.ct1N-8EN8F5oxgc0ze3cij5TbtzS4detQ4AfBzUTGHA&u_id=0 HTTP/1.1" 200 -
127.0.0.1 - - [20/Apr/2022 07:43:57] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [20/Apr/2022 07:43:57] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoxLCJleHAiOjE2NTA0MDQ2Mzc2NjY1NzJ9.XkN66wQPiA46uySc-jenMV-JRjZ973Z5miqvw80Acs8&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [20/Apr/2022 07:43:57] "POST /channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [20/Apr/2022 07:43:57] "POST /channel/join/v2 HTTP/1.1" 200 -
127.0.0.1 - - [20/Apr/2022 07:43:57] "POST /message/send/v1 HTTP/1.1" 200 -
127.0.0.1 - - [20/Apr/2022 07:43:57] "DELETE /admin/user/remove/v1 HTTP/1.1" 200 -
127.0.0.1 - - [20/Apr/2022 07:43:57] "GET /channel/messages/v2?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjowLCJleHAiOjE2NTA0MDQ2Mzc2NTAyMDd9.ct1N-8EN8F5oxgc0ze3cij5TbtzS4detQ4AfBzUTGHA&channel_id=0&start=0 HTTP/1.1" 200 -
127.0.0.1 - - [20/Apr/2022 07:43:57] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [20/Apr/2022 07:43:57] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [20/Apr/2022 07:43:57] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjowLCJleHAiOjE2NTA0MDQ2Mzc3Mzc0ODV9.OJvo5gYFDwKPOI-4efzkv4nAnYH_dER-cm8RpEKR-pc&u_id=0 HTTP/1.1" 200 -
127.0.0.1 - - [20/Apr/2022 07:43:57] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [20/Apr/2022 07:43:57] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoxLCJleHAiOjE2NTA0MDQ2Mzc3NjAwMDJ9.mg34LGoK_EApH5eIHCdybDsTaoL9NWfvpyeFa7qtqcc&u_id=1 HTTP/1.1" 200 -
